--------------------epoch: 0--------------------
Training start ...
*[Iter]: 116 [Acc@1]: 11.719%  [Acc@5]: 29.688%  [Loss]: 3.86592.
*[Iter]: 117 [Acc@1]: 12.500%  [Acc@5]: 43.750%  [Loss]: 3.56879.
*[Iter]: 118 [Acc@1]: 7.812%  [Acc@5]: 34.375%  [Loss]: 3.86846.
*[Iter]: 119 [Acc@1]: 8.594%  [Acc@5]: 35.938%  [Loss]: 3.78790.
*[Iter]: 120 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.84076.
*[Iter]: 121 [Acc@1]: 10.156%  [Acc@5]: 28.906%  [Loss]: 3.85523.
*[Iter]: 122 [Acc@1]: 7.812%  [Acc@5]: 32.812%  [Loss]: 3.84072.
*[Iter]: 123 [Acc@1]: 13.281%  [Acc@5]: 32.031%  [Loss]: 3.78356.
*[Iter]: 124 [Acc@1]: 8.594%  [Acc@5]: 27.344%  [Loss]: 3.82636.
*[Iter]: 125 [Acc@1]: 10.156%  [Acc@5]: 37.500%  [Loss]: 3.72640.
*[Iter]: 126 [Acc@1]: 13.281%  [Acc@5]: 40.625%  [Loss]: 3.43755.
*[Iter]: 127 [Acc@1]: 10.156%  [Acc@5]: 34.375%  [Loss]: 3.80538.
*[Iter]: 128 [Acc@1]: 12.500%  [Acc@5]: 35.156%  [Loss]: 3.70190.
*[Iter]: 129 [Acc@1]: 10.156%  [Acc@5]: 35.156%  [Loss]: 3.71098.
*[Iter]: 130 [Acc@1]: 11.719%  [Acc@5]: 37.500%  [Loss]: 3.75973.
*[Iter]: 131 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.65193.
*[Iter]: 132 [Acc@1]: 8.594%  [Acc@5]: 35.938%  [Loss]: 3.79341.
